#HOLD SHELL RIGHT & LEFT  WRONG

#HOLD SHELL
12910	186	120	199	135	0
12920	246	120	259	135	0
#HOLD SHELL RUNNING RIGHT & LEFT
12911	155	120	170	135	0

12921	275	120	290	135	0
############ RACCON ################
#IDLE
13121	243	634	264	661	0
13111	182	634	203	661	0

#WALK RIGHT
13222	272	634	293	661	0
13223	303	634	324	661	0

#WALK LEFT
13212	152	634	173	661	0
13213	122	634	143	661	0

#RUN RIGHT
13321	331	634	354	661	0
13322	362	634	385	661	0
13323	393	634	414	661	0

#RUN LEFT
13311	91	634	114	661	0
13312	61	634	84	661	0
13313	32	634	53	661	0

#BRACE RIGHT & LEFT
13521	425	634	440	661	0
13511	5	634	20	661	0

#JUMP WALK RIGHT & LEFT 
13413	31	754	54	781	0
13417	392	754	415	781	0

#JUMP RUN RIGHT & LEFT 
13423	61	754	84	781	0
13427	361	754	384	781	0
#KICK RIGHT & LEFT
13711	2	754	23	781	0
13721	422	754	443	781	0

#SIT RIGHT & LEFT
13811	2	719	23	736	0
13821	422	719	443	736	0

#HOLD SHELL
13910	182	794	203	821	0
13920	242	794	263	821	0
#HOLD SHELL RUNNING RIGHT & LEFT
13911	152	794	173	821	0
13921	272	794	293	821	0
13912	122	794	143	821	0
13922	303	794	324	821	0

#buff fly
13424	91	714	114	741	0
13425	61	714	84	741	0
13428	331	714	354	741	0
13429	361	714	384	741	0

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
400	11121	100
401	11111	100

#WALKING RIGHT & LEFT 
500	11121	100	11222	100	11223	100
501	11111	100	11212	100	11213	100

#RUNNING RIGHT & LEFT
600	11321	50	11322	50	11323	50
601	11311	50	11312	50	11313	50

#JUMP WALK
700	11417	100
701	11413	100

#JUMP RUN
800	11427	100
801	11423	100

#SIT RIGHT & LEFT 
900	11521	100
901	11511	100

#BRACE RIGHT & LEFT 
1000	11621	100
1001	11611	100


#KICK RIGHT & LEFT
2000	11721	100
2001	11711	100

#HOLD SHELL RIGHT & LEFT
2100	11920	100
2101	11910	100
#HOLD SHELL RUNNING RIGHT & LEFT
2200	11920	100	11921	100	11922	100
2201	11910	100	11911	100	11912	100
#DIE
999	13001	100

################### SMALL #################
1100	12121	100
1102	12111	100


#WALK LEFT & RIGHT 
1200	12121	100	12222	100	12223	100
1201	12111	100	12212	100	12213	100

#RUN LEFT & RIGHT
1300	12321	100	12322	100	12323	100
1301	12311	100	12312	100	12313	100

#BRACE LEFT & RIGHT
1401	12511	100
1400	12521	100

#JUMP WALK
1500	12417	100
1501	12413	100

#JUMP RUN 
1601	12423	100
1600	12427	100
#KICK RIGHT LEFT
2500	12721	100
2501	12711	100
#HOLD SHELL RIGHT & LEFT
2600	12920	100
2601	12910	100
#HOLD SHELL RUNNING RIGHT & LEFT
2700	12920	100	12921	100
2701	12910	100	12911	100
################### RACCON #################
3100	13121	100
3102	13111	100


#WALK LEFT & RIGHT 
3200	13121	100	13222	100	13223	100
3201	13111	100	13212	100	13213	100

#RUN LEFT & RIGHT
3300	13121	50	13222	100	13223	50
3301	13111	50	13212	100	13213	50

#BRACE LEFT & RIGHT
3401	13511	100
3400	13521	100

#JUMP WALK
3500	13417	100
3501	13413	100

#JUMP RUN 
3601	13423	100
3600	13427	100

#SIT RIGHT LEFT
3700	13821	100
3701	13811	100
#KICK RIGHT LEFT
3800	13721	100
3801	13711	100
#HOLD SHELL RIGHT & LEFT
3900	13920	100
3901	13910	100
#HOLD SHELL RUNNING RIGHT & LEFT
4000	13920	100	13921	100
4001	13910	100	13911	100
#READY FLY
4100	13321	100	13322	100	13323	100
4101	13311	100	13312	100	13313	100
#BUFF FLY
4200	13428	100	13429	100
4201	13424	100	13425	100
